iter	Passed	Remaining
709	1299	530
710	1301	528
711	1302	526
712	1304	525
713	1306	523
714	1307	521
715	1309	519
716	1310	517
717	1311	515
718	1313	513
719	1314	511
720	1315	509
721	1316	507
722	1318	505
723	1320	503
724	1322	501
725	1323	499
726	1325	497
727	1326	495
728	1327	493
729	1329	491
730	1330	489
731	1331	487
732	1333	485
733	1335	483
734	1336	481
735	1338	479
736	1339	477
737	1340	476
738	1342	474
739	1343	472
740	1344	470
741	1346	468
742	1347	466
743	1349	464
744	1351	462
745	1352	460
746	1353	458
747	1355	456
748	1356	454
749	1357	452
750	1358	450
751	1360	448
752	1362	446
753	1363	444
754	1364	442
755	1366	440
756	1367	438
757	1368	436
758	1370	435
759	1371	433
760	1372	431
761	1374	429
762	1375	427
763	1376	425
764	1378	423
765	1380	421
766	1381	419
767	1382	417
768	1384	415
769	1385	413
770	1386	411
771	1388	409
772	1389	408
773	1390	406
774	1392	404
775	1393	402
776	1395	400
777	1396	398
778	1397	396
779	1399	394
780	1400	392
781	1402	390
782	1403	389
783	1405	387
784	1406	385
785	1408	383
786	1410	381
787	1411	379
788	1412	377
789	1413	375
790	1415	373
791	1417	372
792	1418	370
793	1419	368
794	1420	366
795	1422	364
796	1424	362
797	1425	360
798	1426	358
799	1428	357
800	1429	355
801	1431	353
802	1432	351
803	1433	349
804	1435	347
805	1436	345
806	1437	343
807	1439	342
808	1440	340
809	1441	338
810	1443	336
811	1445	334
812	1446	332
813	1447	330
814	1448	328
815	1450	327
816	1452	325
817	1453	323
818	1455	321
819	1456	319
820	1458	317
821	1459	316
822	1460	314
823	1462	312
824	1463	310
825	1464	308
826	1466	306
827	1467	304
828	1469	303
829	1470	301
830	1471	299
831	1472	297
832	1474	295
833	1476	293
834	1477	291
835	1478	290
836	1479	288
837	1482	286
838	1483	284
839	1484	282
840	1485	280
841	1487	279
842	1488	277
843	1490	275
844	1491	273
845	1492	271
846	1494	269
847	1495	268
848	1497	266
849	1498	264
850	1500	262
851	1501	260
852	1503	259
853	1504	257
854	1505	255
855	1506	253
856	1508	251
857	1509	249
858	1510	248
859	1512	246
860	1513	244
861	1515	242
862	1516	240
863	1517	238
864	1519	237
865	1520	235
866	1521	233
867	1522	231
868	1524	229
869	1526	228
870	1527	226
871	1528	224
872	1530	222
873	1531	220
874	1533	219
875	1534	217
876	1535	215
877	1537	213
878	1538	211
879	1539	209
880	1541	208
881	1542	206
882	1543	204
883	1544	202
884	1545	200
885	1547	199
886	1548	197
887	1549	195
888	1550	193
889	1552	191
890	1553	190
891	1554	188
892	1556	186
893	1557	184
894	1558	182
895	1560	181
896	1561	179
897	1562	177
898	1563	175
899	1564	173
900	1565	172
901	1567	170
902	1568	168
903	1570	166
904	1572	165
905	1573	163
906	1574	161
907	1576	159
908	1577	157
909	1578	156
910	1580	154
911	1581	152
912	1582	150
913	1584	149
914	1586	147
915	1588	145
916	1590	143
917	1591	142
918	1593	140
919	1595	138
920	1597	136
921	1600	135
922	1602	133
923	1603	131
924	1605	130
925	1606	128
926	1607	126
927	1609	124
